Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W2,DSC_0810.NEF,-1.0046436516316644,-0.004026199104079641,4300.323763701405,0.008813987411209725,-0.9997718472455203,3092.995193173516,-7.744941772610827e-07,3.2743560919245792e-06,1.0
A&W2,DSC_0811.NEF,-1.0044345856436592,-0.004750485910329189,4299.430313291856,0.009660032934630901,-0.9998530333437091,3091.111699527031,-7.360043564055297e-07,2.7489343698358175e-06,1.0
A&W2,DSC_0812.NEF,-1.0057334145378167,-0.0017256993427931465,4300.020786161023,0.008626119193455066,-0.9986277071149602,3094.115834925132,-1.1795527468658938e-06,4.412409034978294e-06,1.0
A&W2,DSC_0813.NEF,-1.004827824945818,-0.0024167285887115365,4297.435809679545,0.007283476272130955,-0.9968368484028309,3092.3230004447523,-1.564975410414683e-06,4.334760675192963e-06,1.0
A&W2,DSC_0814.NEF,-1.0047233583861184,-0.003450348839082299,4299.434268740405,0.008119651917918958,-0.998800198252262,3094.8142296957485,-1.0399929594243245e-06,3.6181061708367164e-06,1.0
A&W2,DSC_0815.NEF,-1.004658265743884,-0.004015139798936976,4300.046589190407,0.009063910689759917,-0.9994322257925037,3094.031146479791,-7.762977601838404e-07,3.2568192162431155e-06,1.0
A&W2,DSC_0816.NEF,-1.0046551515696445,-0.0033079406432452905,4299.203834573501,0.008874840085048014,-0.9993315229304113,3094.6806481115973,-8.679219479226461e-07,3.5672005537188312e-06,1.0
A&W2,DSC_0817.NEF,-1.002086542964562,-0.005342439517818058,4289.481066263473,0.006973326358388945,-0.9970540436675455,3090.193967974591,-1.8019862437499319e-06,2.6498970027822677e-06,1.0
A&W2,DSC_0819.NEF,-1.0043207987352178,-0.00041567616899257636,4290.053534273197,0.007750839930124419,-0.9955221564485721,3086.4057228223237,-2.951837605896622e-06,5.5348410727502804e-06,1.0
A&W2,DSC_0820.NEF,-1.0051438653958873,-0.003549375752835567,4301.213155365992,0.00914916227598051,-1.000163836087626,3097.6141069115615,-6.789018465220696e-07,3.4978523213268227e-06,0.9999999999999999
A&W2,DSC_0821.NEF,-1.0048486798526906,-0.004292145778068585,4300.91855306531,0.010155855745901714,-1.0004777928788964,3095.5151329880764,-5.81827586669776e-07,3.0700537508799124e-06,1.0
A&W3,DSC_0843.NEF,0.9790634350192444,0.01661586029557637,290.0781600363121,-0.024408964213224058,0.9908800227790922,30.18324804465289,-5.192803301559686e-06,1.469697257622615e-07,1.0
A&W3,DSC_0844.NEF,0.9776671918260373,0.01602586543170688,292.30955088900566,-0.024492887089205297,0.9901393311673943,29.622388138601842,-5.447031708695901e-06,-2.791016776987595e-08,1.0
A&W3,DSC_0845.NEF,0.9784222654378602,0.01853994239657245,290.8053232160282,-0.02677733888198951,0.9912453219700342,34.65838342390741,-5.5535345969730325e-06,5.362251970518907e-07,1.0
A&W3,DSC_0846.NEF,0.9798590349979018,0.018748237130505708,290.1795693077358,-0.025996369910788786,0.9917139438318561,30.186066980822076,-5.064407910758305e-06,4.1546385028863127e-07,1.0
A&W3,DSC_0847.NEF,0.9795884177275164,0.01756698438015109,291.84489158167315,-0.025239150554399743,0.9918770697074175,27.58002563111502,-5.1207418034293196e-06,4.055188415156232e-07,1.0
A&W3,DSC_0848.NEF,0.9792887797920449,0.017487931263671562,291.0748529319793,-0.025475526678483608,0.9919131440088099,26.486023388447443,-5.246132340590926e-06,4.275971007626113e-07,1.0
A&W3,DSC_0849.NEF,0.9798582291052621,0.018001929979116996,287.7250829105787,-0.025217365223932135,0.9924148076273033,23.997807445233214,-5.3353929192161755e-06,8.457018086832964e-07,1.0
A&W3,DSC_0850.NEF,0.9800631943339229,0.017523350861001423,294.1599852928664,-0.024608137478406154,0.9917039189159921,22.65381781805578,-4.977322011839572e-06,1.7349198156227605e-07,1.0
A&W3,DSC_0851.NEF,0.9780498187808697,0.018868137536535094,290.6579109138543,-0.02778766040363299,0.9904036769043629,35.25313313187367,-5.455672296645549e-06,1.8225053458942943e-07,1.0
A&W3,DSC_0852.NEF,0.9793877625987603,0.01967056003581916,290.86430189986737,-0.026831232019972926,0.9916395814929005,26.48729137028066,-5.28963392313767e-06,5.419502007934914e-07,1.0
A&W3,DSC_0853.NEF,0.9800513261284431,0.018732319778211052,295.307907409807,-0.026175490488653468,0.9922532285903273,26.09380247164636,-5.238863171187525e-06,8.895705784840418e-07,1.0
